dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,calorie_label
Biscuit Snacks,150,2.0,6.0,22.0,🟡 中卡
Chickpea Stew,300,15.0,10.0,45.0,🔴 高卡
Liquor Jar Cake,350,5.0,15.0,50.0,🔴 高卡
Butterfly Pea Flower,500,25.0,20.0,60.0,🔴 高卡
Grilled Squid with Spicy Sauce,400,25.0,15.0,30.0,🔴 高卡
Noodles with Beef and Bok Choy,600,30.0,20.0,70.0,🔴 高卡
Garlic Chicken with Noodles,600,40.0,30.0,50.0,🔴 高卡
Cauliflower,25,1.9,0.3,4.9,🟢 低卡
Chicken and Green Pepper Stir-Fry,350,25.0,15.0,30.0,🔴 高卡
Ice Cream Dessert,350,5.0,15.0,50.0,🔴 高卡
Spicy Fried Potatoes,300,5.0,15.0,40.0,🔴 高卡
Sweet Soy Glazed Tofu,250,10.0,15.0,20.0,🔴 高卡
Sweet Pastry Snacks,250,3.0,10.0,35.0,🔴 高卡
Vegetable Cutlets,300,5.0,15.0,40.0,🔴 高卡
Fresh Okra,33,2.0,0.2,7.5,🟢 低卡
Steamed Chicken with Vegetables,250,20.0,10.0,5.0,🔴 高卡
Soy Sauce Snack,250,5.0,12.0,35.0,🔴 高卡
Steamed Eggs with Sauce,300,25.0,15.0,10.0,🔴 高卡
Stir-fried Green Beans with Salad,150,4.0,5.0,25.0,🟡 中卡
Broccoli with Sauce and Protein,350,20.0,15.0,30.0,🔴 高卡
Stir-fried Vegetables with Chicken,400,25.0,15.0,50.0,🔴 高卡
Grain Pudding,150,5.0,2.0,30.0,🟡 中卡
Spicy Chicken Feet and Chicken Stew,800,50.0,40.0,30.0,🔴 高卡
Spicy Grilled Fish with Potatoes,800,50.0,40.0,60.0,🔴 高卡
Baked Egg with Meat,350,15.0,20.0,30.0,🔴 高卡
Character Ice Cream Pop,150,2.0,3.0,30.0,🟡 中卡
Grilled Chicken with Peppers,400,30.0,20.0,10.0,🔴 高卡
Stir-fried Noodles with Shrimp and Beef,600,30.0,20.0,70.0,🔴 高卡
Stew with meat and vegetables,600,40.0,30.0,50.0,🔴 高卡
Stir-fried Cauliflower with Sausage,350,15.0,20.0,30.0,🔴 高卡
Braised Salmon with Broccoli,450,30.0,25.0,20.0,🔴 高卡
Probiotic Gummies,100,1.0,0.5,24.0,🟡 中卡
Skewered Hot Pot,800,40.0,30.0,70.0,🔴 高卡
Milk Powder,350,20.0,10.0,50.0,🔴 高卡
Vegetable and Seafood Stir-fry,350,20.0,15.0,40.0,🔴 高卡
Peeled Mango,130,1.0,0.3,34.0,🟡 中卡
Spicy Cooked Meat,250,20.0,15.0,10.0,🔴 高卡
Mixed Skewers in Spicy Sauce,600,30.0,20.0,70.0,🔴 高卡
Stir-fried Celery,50,2.0,0.5,10.0,🟢 低卡
Grilled Cheese Sandwich with Chips,600,20.0,25.0,70.0,🔴 高卡
Energy Drink,100,0.0,0.0,27.0,🟡 中卡
Wafer,150,2.0,5.0,25.0,🟡 中卡
Jelly Noodles,150,2.0,0.5,35.0,🟡 中卡
Raw Carrots,150,3.5,0.5,35.0,🟡 中卡
Steamed Red Bean Buns,300,8.0,2.5,60.0,🔴 高卡
Beef Soup with Rice,600,40.0,30.0,50.0,🔴 高卡
Cheese and Meat Rolls,400,20.0,15.0,50.0,🔴 高卡
Fried Lotus Root,250,3.0,12.0,35.0,🔴 高卡
Grilled Crab,250,30.0,10.0,5.0,🔴 高卡
Fried Food Sticks,400,10.0,20.0,50.0,🔴 高卡
Chicken and Rice Plate,800,50.0,30.0,90.0,🔴 高卡
Green Onion Pancake,300,8.0,10.0,45.0,🔴 高卡
Sausages with Tomatoes,400,25.0,30.0,5.0,🔴 高卡
Stir-fried Cauliflower and Bell Peppers,150,4.0,7.0,20.0,🟡 中卡
Baked Snacks,250,4.0,10.0,36.0,🔴 高卡
Beef Burgers,600,25.0,30.0,50.0,🔴 高卡
Crab Roe Snack,250,5.0,12.0,30.0,🔴 高卡
Prosciutto Salad,350,15.0,20.0,30.0,🔴 高卡
Sushi and Cold Noodle Soup,800,40.0,30.0,100.0,🔴 高卡
Braised Pork Intestines,350,20.0,25.0,5.0,🔴 高卡
Spaghetti with Meat and Egg,700,40.0,30.0,70.0,🔴 高卡
Lay's Mexican Chicken Tomato Flavor Chips,150,2.0,8.0,18.0,🟡 中卡
Lobster with Lettuce,500,40.0,20.0,30.0,🔴 高卡
Mixed meat and vegetable dish with rice,600,30.0,20.0,80.0,🔴 高卡
Noodle and Wrap Combo,600,25.0,20.0,80.0,🔴 高卡
Lettuce Wrap,250,20.0,15.0,10.0,🔴 高卡
Sliced Meat with Corn,600,50.0,30.0,60.0,🔴 高卡
Stir-Fried Green Beans,250,5.0,15.0,30.0,🔴 高卡
Garlic Butter Clams,250,20.0,10.0,15.0,🔴 高卡
Quinoa and Shrimp Bowl,600,30.0,20.0,80.0,🔴 高卡
Steamed Chicken with Mushrooms,600,50.0,30.0,20.0,🔴 高卡
Chopped Green Vegetables,50,3.0,0.5,10.0,🟢 低卡
Fresh Apples,520,1.0,1.5,140.0,🔴 高卡
Roasted Chicken with Stuffing,600,50.0,30.0,40.0,🔴 高卡
Fried Meat Slices,350,20.0,25.0,5.0,🔴 高卡
Chicken and Vegetable Porridge,250,10.0,5.0,45.0,🔴 高卡
Pork trotters,300,25.0,20.0,0.0,🔴 高卡
Lamb Chops with Sandwiches,800,60.0,45.0,50.0,🔴 高卡
Grilled Steak with Potatoes and Salad,800,60.0,50.0,30.0,🔴 高卡
Fruit and Salad Bowl,150,2.0,1.0,35.0,🟡 中卡
Jiaxianmahua,150,3.0,5.0,25.0,🟡 中卡
Breakfast platter,600,15.0,30.0,70.0,🔴 高卡
Fried Onion Rings,300,3.0,15.0,40.0,🔴 高卡
Savory Potato Fritters,400,10.0,20.0,45.0,🔴 高卡
Green tea dessert with a snack,300,5.0,10.0,45.0,🔴 高卡
Pasta with Fried Chicken,600,25.0,30.0,60.0,🔴 高卡
Sesame Bagel,250,9.0,5.0,45.0,🔴 高卡
Cheese Pastry,400,10.0,20.0,45.0,🔴 高卡
Cut Watermelon,300,3.0,1.0,75.0,🔴 高卡
Wontons,350,12.0,15.0,45.0,🔴 高卡
Garlic sautéed greens,150,3.0,5.0,20.0,🟡 中卡
Natto,200,18.0,10.0,15.0,🟡 中卡
Yellow fruits (possibly jujubes),150,1.0,0.5,35.0,🟡 中卡
Fried Insects,250,20.0,15.0,10.0,🔴 高卡
Eggs and Meat with Sweet Potatoes,800,50.0,40.0,60.0,🔴 高卡
Vegetable Salad with Mayonnaise,250,5.0,15.0,30.0,🔴 高卡
Vegetable Stew with Bread,450,10.0,15.0,65.0,🔴 高卡
Noodle with Tofu,600,25.0,20.0,80.0,🔴 高卡
McDonald's Meal,800,25.0,40.0,90.0,🔴 高卡
Stir-fried Beef Noodles,600,35.0,20.0,70.0,🔴 高卡
Vietnamese Noodle Salad,600,30.0,25.0,70.0,🔴 高卡
Beef Sandwich,450,25.0,15.0,50.0,🔴 高卡
Crawfish with Vegetables,450,30.0,20.0,25.0,🔴 高卡
Crispy Rice Cakes,150,3.0,5.0,25.0,🟡 中卡
Boiled Eggs with Tomatoes,250,20.0,15.0,10.0,🔴 高卡
Sweet Potato Puree,250,5.0,10.0,35.0,🔴 高卡
Meatball Stew,350,20.0,15.0,30.0,🔴 高卡
Mixed Indian Cuisine,800,25.0,30.0,100.0,🔴 高卡
Stir-fried Sausage with Green Onions,400,20.0,25.0,15.0,🔴 高卡
Fried Chicken Feet and Meat,800,60.0,50.0,30.0,🔴 高卡
Graduation Cake,350,4.0,15.0,50.0,🔴 高卡
Shrimp and Vegetable Stir-fry with Black Rice,600,30.0,15.0,80.0,🔴 高卡
Mixed Vegetable and Meat Stew,600,30.0,20.0,80.0,🔴 高卡
Stir-fried seafood,300,20.0,15.0,25.0,🔴 高卡
Mixed Vegetable and Rice Bowl,600,30.0,20.0,80.0,🔴 高卡
Mixed Dessert Bowl,300,8.0,10.0,45.0,🔴 高卡
Pasta with Garlic and Tomatoes,600,20.0,15.0,85.0,🔴 高卡
Crab Soup,450,30.0,15.0,50.0,🔴 高卡
Salted Pumpkin Seeds,200,5.0,15.0,10.0,🟡 中卡
Green Roll Cake,250,4.0,10.0,36.0,🔴 高卡
Yogurt with Goji Berries and Sesame Seeds,250,8.0,10.0,30.0,🔴 高卡
Fruit platter with dessert,300,5.0,10.0,60.0,🔴 高卡
Watermelon and Cucumber Salad,150,2.0,0.5,38.0,🟡 中卡
Sautéed Bell Peppers,150,3.0,7.0,20.0,🟡 中卡
Pickled Vegetables with Nuts,150,5.0,7.0,20.0,🟡 中卡
Hearty Meat and Vegetable Soup,350,20.0,15.0,30.0,🔴 高卡
Mixed Seafood and Fruits Platter,600,40.0,20.0,50.0,🔴 高卡
Squid Ink Pasta,600,20.0,15.0,85.0,🔴 高卡
Braised Pork Belly with Eggs,600,30.0,40.0,20.0,🔴 高卡
Pasta with Tomato Sauce and Boiled Eggs,600,20.0,15.0,85.0,🔴 高卡
Grilled Salmon Rice Bowl,600,30.0,25.0,70.0,🔴 高卡
Rice Noodles with Protein,300,10.0,15.0,30.0,🔴 高卡
Crepes with sauce,350,8.0,10.0,55.0,🔴 高卡
Mixed Nuts and Mojito,300,10.0,15.0,35.0,🔴 高卡
Garlic Eggplant,150,2.0,10.0,15.0,🟡 中卡
Rice with greens and meat,600,30.0,20.0,70.0,🔴 高卡
Skewered Meats,600,30.0,40.0,20.0,🔴 高卡
Soaked Legumes,200,15.0,1.5,35.0,🟡 中卡
Fried Rice with Beans,350,8.0,10.0,60.0,🔴 高卡
Cooked Lentils,230,18.0,0.8,40.0,🟡 中卡
Beef Chow Fun,600,30.0,20.0,70.0,🔴 高卡
Frozen Meatballs and Hot Dogs,400,25.0,20.0,30.0,🔴 高卡
Crawfish with grains,450,30.0,15.0,50.0,🔴 高卡
Glazed Fish,350,25.0,15.0,30.0,🔴 高卡
Packaged Sausage Snack,250,10.0,15.0,20.0,🔴 高卡
Steamed Chicken with Rice and Vegetables,700,40.0,30.0,70.0,🔴 高卡
Spiced Tea,150,0.5,0.5,35.0,🟡 中卡
Chicken Feet Stew,600,40.0,30.0,50.0,🔴 高卡
Pasta with Eggs,600,25.0,20.0,80.0,🔴 高卡
Fruit and Pastry Platter,300,5.0,10.0,50.0,🔴 高卡
Crispy Roasted Chicken,500,25.0,30.0,40.0,🔴 高卡
Garlic Pumpkin,200,3.0,5.0,35.0,🟡 中卡
Egg and Vegetable Platter,300,20.0,15.0,25.0,🔴 高卡
Grilled Steak with Pasta,600,40.0,30.0,50.0,🔴 高卡
Yellow Bean Sauce,150,8.0,5.0,20.0,🟡 中卡
Stir-fried Cauliflower and Broccoli,150,4.0,5.0,25.0,🟡 中卡
Sea Urchin and Shrimp,250,20.0,15.0,5.0,🔴 高卡
Omelette Rice with Beef Stew,700,25.0,30.0,80.0,🔴 高卡
Hot Chilli Biscuits Sticks,520,6.0,14.0,66.0,🔴 高卡
Spicy Meat Dish with Rice,600,25.0,30.0,50.0,🔴 高卡
Toasted Whole Grain Bread,200,8.0,2.0,36.0,🟡 中卡
Fruit with spice dip,150,3.0,2.0,35.0,🟡 中卡
Malai Kofta,350,15.0,20.0,30.0,🔴 高卡
Creamy Nut Soup,250,15.0,10.0,30.0,🔴 高卡
Cake with Cream Filling,250,4.0,10.0,36.0,🔴 高卡
Braised Tofu with Vegetables,350,20.0,15.0,40.0,🔴 高卡
Skewered meat and dumplings,600,25.0,20.0,80.0,🔴 高卡
Fish Noodle Soup,450,25.0,15.0,60.0,🔴 高卡
Sweet Confection,150,3.0,5.0,25.0,🟡 中卡
Barbecue Meat Platter,600,30.0,45.0,20.0,🔴 高卡
Bowl with beans and toppings,600,25.0,20.0,80.0,🔴 高卡
Vegetable Seaweed Soup,150,10.0,5.0,20.0,🟡 中卡
Vegetable Scramble,350,20.0,15.0,40.0,🔴 高卡
Bread with Butter,400,10.0,20.0,50.0,🔴 高卡
Spicy Noodle Hot Pot,600,25.0,20.0,80.0,🔴 高卡
Mixed Korean Meal,800,50.0,45.0,60.0,🔴 高卡
Meltykiss Strawberry Chocolate,300,3.0,15.0,40.0,🔴 高卡
Beef Patties,250,18.0,20.0,0.0,🔴 高卡
Strawberry Smoothie,150,2.0,1.0,35.0,🟡 中卡
Grilled Chicken with Pasta and Vegetables,600,50.0,15.0,70.0,🔴 高卡
Mixed Protein Plate,600,40.0,30.0,50.0,🔴 高卡
Crispy Chicken with Sauce,600,40.0,30.0,50.0,🔴 高卡
Vegetable Patties with Broccoli,350,20.0,15.0,30.0,🔴 高卡
Breaded Chicken,300,20.0,15.0,25.0,🔴 高卡
Blackened Sushi Roll,350,15.0,20.0,30.0,🔴 高卡
French Fries and Snacks,400,5.0,20.0,50.0,🔴 高卡
Milk Biscuits,150,2.0,5.0,22.0,🟡 中卡
Yogurt with Fruit,150,6.0,5.0,20.0,🟡 中卡
Snack with drink,500,10.0,20.0,70.0,🔴 高卡
Shrimp with Broccoli,250,30.0,5.0,10.0,🔴 高卡
Spicy Beef Rice,500,15.0,20.0,70.0,🔴 高卡
Fried Birds,400,30.0,25.0,5.0,🔴 高卡
Salad with Fried Sides,600,25.0,30.0,50.0,🔴 高卡
Dim Sum and Stir-fried Noodles,800,40.0,30.0,90.0,🔴 高卡
Dumpling meal with vegetables and egg,500,20.0,15.0,70.0,🔴 高卡
Octopus,200,30.0,2.5,0.0,🟡 中卡
Noodles with Vegetables,400,12.0,10.0,60.0,🔴 高卡
Sizzling Beef with Egg,800,50.0,40.0,70.0,🔴 高卡
Sesame-Crusted Pork,400,30.0,20.0,15.0,🔴 高卡
Watermelon Juice,150,2.0,0.5,38.0,🟡 中卡
Cheesy Pasta,600,25.0,20.0,80.0,🔴 高卡
Bacon-Wrapped Leeks,600,30.0,40.0,20.0,🔴 高卡
Cream Roll Cake,350,5.0,15.0,50.0,🔴 高卡
Fried Potato Wedges,400,10.0,25.0,35.0,🔴 高卡
Glazed Carrots,150,2.0,5.0,25.0,🟡 中卡
Cooked Meat with Peppers,450,35.0,25.0,20.0,🔴 高卡
Cold Buckwheat Noodles (Naengmyeon),600,25.0,15.0,85.0,🔴 高卡
Noodle Bowl with Pork,600,30.0,25.0,60.0,🔴 高卡
Blueberry Oreo Cake,350,5.0,15.0,50.0,🔴 高卡
Stuffed Dates,250,3.0,10.0,40.0,🔴 高卡
Shredded Chicken with Dipping Sauce,350,25.0,15.0,30.0,🔴 高卡
Vegetable Rice Dish,350,15.0,10.0,50.0,🔴 高卡
Sandwich with Boiled Eggs,500,25.0,20.0,60.0,🔴 高卡
Fried Duck,600,50.0,40.0,10.0,🔴 高卡
Colorful Dessert,250,2.0,10.0,40.0,🔴 高卡
Noodle Bowl with Chicken and Beef,800,40.0,30.0,90.0,🔴 高卡
Filled Bun,250,6.0,8.0,36.0,🔴 高卡
Mushroom and Sausage Stir-fry,350,20.0,15.0,30.0,🔴 高卡
Spicy Pickled Radish,150,3.0,5.0,25.0,🟡 中卡
Snack Food,80,2.0,4.0,10.0,🟢 低卡
Chocolate Soufflé,400,6.0,20.0,50.0,🔴 高卡
Baked Fish with Salad,350,20.0,15.0,30.0,🔴 高卡
Fried Rice with Nuts,300,8.0,10.0,45.0,🔴 高卡
Shrimp with vegetables and pumpkin,800,50.0,30.0,70.0,🔴 高卡
Spicy Tofu Snack,150,5.0,10.0,10.0,🟡 中卡
Braised Pork with Beans,450,30.0,20.0,40.0,🔴 高卡
Chocolate Snack,250,5.0,10.0,35.0,🔴 高卡
Sweet and Sour Chicken with Corn,600,40.0,25.0,50.0,🔴 高卡
Mango Smoothie,200,2.0,1.0,45.0,🟡 中卡
Meat with dipping sauce,600,50.0,40.0,10.0,🔴 高卡
Cat-themed cake roll,350,5.0,15.0,50.0,🔴 高卡
Vegetable Soup with Stir-Fried Greens,250,15.0,10.0,30.0,🔴 高卡
Nut-based Sweet,250,5.0,10.0,35.0,🔴 高卡
Pistachio Tart and Assorted Desserts,350,5.0,20.0,40.0,🔴 高卡
Savory layered dish,450,25.0,20.0,50.0,🔴 高卡
Roast Duck Rice,600,35.0,25.0,60.0,🔴 高卡
Noodle and Tempura Set,600,15.0,20.0,80.0,🔴 高卡
Milk-based dessert,250,5.0,10.0,35.0,🔴 高卡
Stuffed Rolls,400,20.0,15.0,50.0,🔴 高卡
Vacuum-sealed fish,250,25.0,15.0,0.0,🔴 高卡
Eggs with Avocado and Toast,400,20.0,25.0,30.0,🔴 高卡
Sesame Bun,250,12.0,10.0,30.0,🔴 高卡
Grilled Meat Rolls,600,40.0,30.0,50.0,🔴 高卡
Spicy Grilled Corn,250,5.0,10.0,35.0,🔴 高卡
Chicken and Shrimp with Creamy Sauce,800,50.0,40.0,60.0,🔴 高卡
Adjarian Khachapuri,600,20.0,30.0,60.0,🔴 高卡
Grilled Scallops with Sauce,600,40.0,25.0,50.0,🔴 高卡
Cooked Lobster,300,60.0,5.0,0.0,🔴 高卡
Korean Tteokbokki with assorted side dishes,600,30.0,20.0,80.0,🔴 高卡
Stuffed Rice Ball,250,8.0,10.0,35.0,🔴 高卡
Chicken with Cottage Cheese,450,30.0,25.0,20.0,🔴 高卡
Fried Pumpkin,150,2.0,5.0,25.0,🟡 中卡
Chicken Bouillon,50,2.0,1.0,10.0,🟢 低卡
Salmon with Creamy Spinach Sauce,450,40.0,25.0,10.0,🔴 高卡
Corn and Meat Stir-fry,350,20.0,15.0,40.0,🔴 高卡
Fruit and Snack Platter,300,5.0,10.0,50.0,🔴 高卡
Chocolate Cookies,250,4.0,10.0,36.0,🔴 高卡
Crinkle-Cut Fries,365,4.0,17.0,54.0,🔴 高卡
Chicken Stir-fry with Rice,600,30.0,20.0,70.0,🔴 高卡
Loaded Sandwich,600,25.0,30.0,50.0,🔴 高卡
Beef Flavored Peanuts,250,10.0,15.0,20.0,🔴 高卡
Mixed Soup,250,15.0,10.0,30.0,🔴 高卡
Fried Vegetable Rings,250,5.0,15.0,30.0,🔴 高卡
Green Salad with Dressing,150,5.0,10.0,15.0,🟡 中卡
Mixed Seafood and Beef Plate,600,40.0,25.0,50.0,🔴 高卡
Mixed Chicken and Vegetable Platter,600,40.0,25.0,50.0,🔴 高卡
Cupcakes and Fruit Cups,300,3.0,15.0,40.0,🔴 高卡
Stuffed dough,250,5.0,10.0,35.0,🔴 高卡
Lobster with Fried Rice and Vegetables,800,50.0,30.0,80.0,🔴 高卡
Buns,300,9.0,5.0,55.0,🔴 高卡
Tofu and Squid,400,30.0,20.0,30.0,🔴 高卡
Glazed Meat with Vegetables,600,25.0,30.0,50.0,🔴 高卡
Wasabi seasoning,50,2.0,1.0,10.0,🟢 低卡
Spicy Crab Noodles,600,40.0,30.0,50.0,🔴 高卡
Fried Rice with Sausages,600,15.0,20.0,80.0,🔴 高卡
Fried Chicken with Tomatoes,400,30.0,25.0,10.0,🔴 高卡
Ice Cream Toast,450,6.0,20.0,60.0,🔴 高卡
Carbonara,600,20.0,25.0,70.0,🔴 高卡
Jelly dessert with milk,250,3.0,5.0,45.0,🔴 高卡
Vegetable and Meat Mixture,250,15.0,10.0,30.0,🔴 高卡
Vietnamese platter,600,40.0,20.0,50.0,🔴 高卡
Chocolate Fruitcake,250,4.0,8.0,40.0,🔴 高卡
Pork and Vegetable Dumplings,250,12.0,10.0,30.0,🔴 高卡
Canned Beverage,150,3.0,5.0,25.0,🟡 中卡
Noodle Soup with Meatballs and Chicken,600,30.0,20.0,70.0,🔴 高卡
Fried Potato Fritters,400,5.0,20.0,50.0,🔴 高卡
Lentil or Chickpea Mixture,250,8.0,10.0,35.0,🔴 高卡
Fried Mixed Items,600,20.0,30.0,70.0,🔴 高卡
Packaged Sausage,150,6.0,5.0,20.0,🟡 中卡
Spiced Flatbread,350,15.0,20.0,30.0,🔴 高卡
Pasta with Chicken and Olives,450,25.0,15.0,55.0,🔴 高卡
Green Tomatoes,50,1.5,0.2,11.0,🟢 低卡
Meat and Vegetable Pizza,800,35.0,30.0,90.0,🔴 高卡
Bean Stir-fry,250,15.0,5.0,40.0,🔴 高卡
Beef Bone Soup with Rice,600,30.0,20.0,70.0,🔴 高卡
Sweet and Spicy Chicken,600,40.0,30.0,50.0,🔴 高卡
Steamed Dumplings with Yellow Soup,500,15.0,10.0,80.0,🔴 高卡
Dumplings and Sausages,600,25.0,30.0,50.0,🔴 高卡
Oreos,160,1.0,7.0,25.0,🟡 中卡
Fruit smoothie,250,3.0,5.0,45.0,🔴 高卡
Spicy Pork Bone Noodles,450,20.0,15.0,60.0,🔴 高卡
Sour Cream and Herb Crisps,500,8.0,25.0,65.0,🔴 高卡
Dried Jujubes,277,2.0,0.2,75.0,🔴 高卡
Frothy Coffee,300,5.0,10.0,45.0,🔴 高卡
Fried Rice with Meat and Egg,600,30.0,25.0,60.0,🔴 高卡
Dumplings with Yogurt and Sauce,500,15.0,20.0,60.0,🔴 高卡
Multigrain Rice,535,12.5,3.2,100.0,🔴 高卡
Milk Biscuit,150,2.0,5.0,22.0,🟡 中卡
Thai Tom Yum Flavored Shrimp Chips,450,10.0,25.0,50.0,🔴 高卡
Cucumber Salad with Peanuts,200,5.0,10.0,25.0,🟡 中卡
Lemon & Pepper Sausages,250,15.0,20.0,2.0,🔴 高卡
Soy Sauce Chicken Wings,400,30.0,25.0,5.0,🔴 高卡
Meat Snack,250,15.0,10.0,30.0,🔴 高卡
Dried Longan,150,3.0,5.0,25.0,🟡 中卡
Aloe Yogurt,120,3.0,2.0,22.0,🟡 中卡
Spicy Shrimp Salad,350,25.0,15.0,30.0,🔴 高卡
Salmon Sushi with Miso Soup,350,25.0,15.0,30.0,🔴 高卡
Full Breakfast,600,25.0,30.0,50.0,🔴 高卡
Green Tea Snack Bar,150,3.0,5.0,25.0,🟡 中卡
Roasted Leg of Lamb,800,70.0,50.0,0.0,🔴 高卡
Lobster Paella,600,40.0,20.0,50.0,🔴 高卡
Meatball Soup with Rice,600,30.0,20.0,80.0,🔴 高卡
Stir-fried noodles with rice,600,30.0,20.0,80.0,🔴 高卡
Fried Fish in Sauce,350,30.0,20.0,10.0,🔴 高卡
Spicy Shrimp with Vegetables,350,25.0,15.0,30.0,🔴 高卡
Cherry Dumplings,250,8.0,5.0,45.0,🔴 高卡
Mixed stir-fry with rice and tofu,600,30.0,20.0,80.0,🔴 高卡
Fried Patties with Potato Salad,600,30.0,25.0,60.0,🔴 高卡
Key Lime Pie,350,3.0,20.0,40.0,🔴 高卡
Sweet Egg Dessert,250,10.0,15.0,20.0,🔴 高卡
Century Eggs,200,12.0,15.0,5.0,🟡 中卡
Fried Squid Cakes,350,20.0,15.0,30.0,🔴 高卡
Corn Dogs,600,15.0,30.0,70.0,🔴 高卡
Chocolate Energy Balls,200,5.0,10.0,25.0,🟡 中卡
Beef Stew with Vegetables,600,40.0,30.0,20.0,🔴 高卡
Burger and Fries,800,30.0,40.0,70.0,🔴 高卡
Pulled Chicken Sandwich,450,25.0,15.0,55.0,🔴 高卡
Fried Eggplant with Chili,350,5.0,20.0,30.0,🔴 高卡
Cooked Beef Strips,250,20.0,15.0,0.0,🔴 高卡
Probiotic Powder,120,5.0,2.0,20.0,🟡 中卡
Chicken Feet with Lemon,250,20.0,15.0,5.0,🔴 高卡
Chicken Sandwich with Dessert,450,15.0,20.0,50.0,🔴 高卡
Biryani with Raita,600,25.0,20.0,80.0,🔴 高卡
Green Beans with Bacon,150,4.0,5.0,25.0,🟡 中卡
Sesame Flatbread with Egg and Soup,600,30.0,25.0,70.0,🔴 高卡
Blueberry-flavored drink,150,3.0,2.0,30.0,🟡 中卡
Gourmet Toast with Meat,450,30.0,25.0,35.0,🔴 高卡
Fried Rice with Meat and Vegetables,600,25.0,20.0,80.0,🔴 高卡
Beef Wrap,600,30.0,20.0,70.0,🔴 高卡
Mint Ice Cream,200,4.0,10.0,28.0,🟡 中卡
Tomato and Egg Stir-fry with Beef and Rice,700,40.0,25.0,80.0,🔴 高卡
Braised Meat with Peanuts,600,40.0,30.0,50.0,🔴 高卡
Roasted Meat Platter,600,40.0,30.0,20.0,🔴 高卡
Sea Urchin Custard,250,20.0,15.0,5.0,🔴 高卡
Green Tea Pudding,250,5.0,10.0,35.0,🔴 高卡
Kung Fu Frog Legs,350,30.0,20.0,10.0,🔴 高卡
Grilled Meat with Egg and Vegetables,600,40.0,30.0,50.0,🔴 高卡
Eggs and Bacon,450,30.0,35.0,2.0,🔴 高卡
Soft Tofu,150,8.0,5.0,20.0,🟡 中卡
Vegetable and Meat Skewers,450,25.0,20.0,40.0,🔴 高卡
Instant Noodles with Meatballs,300,12.0,10.0,45.0,🔴 高卡
Citrus Fruit,80,1.0,0.2,21.0,🟢 低卡
Egg Rice Bowl,600,30.0,25.0,70.0,🔴 高卡
Mixed Seafood and Meat Stir-fry,800,50.0,40.0,30.0,🔴 高卡
Cheesy Pasta with Beans,450,20.0,15.0,60.0,🔴 高卡
Sweet Pancakes,250,5.0,10.0,35.0,🔴 高卡
Duck,250,20.0,15.0,0.0,🔴 高卡
Assorted Snack Sticks,250,5.0,10.0,35.0,🔴 高卡
Radish Soup,50,1.0,0.1,12.0,🟢 低卡
Spicy Chicken Feet and Tofu,600,40.0,30.0,50.0,🔴 高卡
Shrimp in Soy Sauce,250,30.0,5.0,10.0,🔴 高卡
Pasta with Fried Mushrooms,600,15.0,20.0,80.0,🔴 高卡
Sesame Candy,150,3.0,5.0,25.0,🟡 中卡
Roasted Birds with Quail Eggs,800,60.0,50.0,10.0,🔴 高卡
Roasted Meat Rice,800,40.0,30.0,90.0,🔴 高卡
Beef Skewers,250,20.0,15.0,0.0,🔴 高卡
Noodle Soup with Fries,600,15.0,20.0,80.0,🔴 高卡
Lobster Roll,350,25.0,15.0,30.0,🔴 高卡
Langos,300,10.0,15.0,35.0,🔴 高卡
Sweet Jelly with Sauce,150,2.0,5.0,25.0,🟡 中卡
Fruit Paste,150,1.0,2.0,35.0,🟡 中卡
Steamed Mussels,200,30.0,4.0,0.0,🟡 中卡
Noodle Bowl with Beef and Vegetables,800,35.0,20.0,100.0,🔴 高卡
Pumpkin Pie,320,4.0,14.0,45.0,🔴 高卡
Sliced Okra,33,2.0,0.2,7.5,🟢 低卡
Cooked Meat with Onions,400,30.0,25.0,10.0,🔴 高卡
Filet Mignon with Roasted Potatoes,600,50.0,30.0,40.0,🔴 高卡
Pasta with Yogurt and Spices,450,12.0,15.0,60.0,🔴 高卡
Tortilla Wrap with Watermelon,300,8.0,10.0,45.0,🔴 高卡
Green Bean Paste,250,5.0,10.0,35.0,🔴 高卡
Spicy Dried Fish Snack,150,10.0,5.0,15.0,🟡 中卡
Salad with Prosciutto and Fruits,350,15.0,20.0,30.0,🔴 高卡
Meat with Bread,600,40.0,30.0,50.0,🔴 高卡
Decorative Rice Bowl,450,12.0,15.0,65.0,🔴 高卡
Mango and Apple Salad,150,1.5,0.6,37.0,🟡 中卡
Toasted Bread,200,6.0,3.0,36.0,🟡 中卡
Seafood Pizza,300,15.0,12.0,36.0,🔴 高卡
Meat Flatbread,450,25.0,20.0,40.0,🔴 高卡
Creamy Nut Dessert,350,10.0,15.0,45.0,🔴 高卡
Fried Rice with Egg and Tomato Soup,600,25.0,20.0,80.0,🔴 高卡
Lychee and Soda,200,1.5,0.5,50.0,🟡 中卡
Vegetable Stir-Fry with Tofu,250,15.0,10.0,30.0,🔴 高卡
Crispy Pork Belly with Rice Noodles,600,30.0,40.0,50.0,🔴 高卡
Crab-flavored chips,150,2.0,8.0,18.0,🟡 中卡
Spicy Seasoning Mix,500,10.0,30.0,40.0,🔴 高卡
Spicy Beef Stew,600,40.0,30.0,20.0,🔴 高卡
Mixed Rice with Vegetables,600,20.0,15.0,90.0,🔴 高卡
